去掉停词表中的单词后，单词分布频率如下:
单词:nineteen 出现次数:1 频率:0.17%
单词:northern 出现次数:1 频率:0.17%
单词:nullification 出现次数:1 频率:0.17%
单词:oasis 出现次数:1 频率:0.17%
单词:obligation 出现次数:1 频率:0.17%
单词:obvious 出现次数:1 频率:0.17%
单词:ocean 出现次数:1 频率:0.17%
单词:opportunity 出现次数:1 频率:0.17%
单词:oppression 出现次数:1 频率:0.17%
单词:overlook 出现次数:1 频率:0.17%
单词:owners 出现次数:1 频率:0.17%
单词:palace 出现次数:1 频率:0.17%
单词:pass 出现次数:1 频率:0.17%
单词:path 出现次数:1 频率:0.17%
单词:pennsylvania 出现次数:1 频率:0.17%
单词:persecution 出现次数:1 频率:0.17%
单词:pilgrim 出现次数:1 频率:0.17%
单词:plain 出现次数:1 频率:0.17%
单词:plane 出现次数:1 频率:0.17%
单词:pledge 出现次数:1 频率:0.17%
单词:poverty 出现次数:1 频率:0.17%
单词:pray 出现次数:1 频率:0.17%
单词:presence 出现次数:1 频率:0.17%
单词:pride 出现次数:1 频率:0.17%
单词:process 出现次数:1 频率:0.17%
单词:proclamation 出现次数:1 频率:0.17%
单词:prodigious 出现次数:1 频率:0.17%
单词:promise 出现次数:1 频率:0.17%
单词:promises 出现次数:1 频率:0.17%
单词:prosperity 出现次数:1 频率:0.17%
单词:protest 出现次数:1 频率:0.17%
单词:protestants 出现次数:1 频率:0.17%
单词:pursuit 出现次数:1 频率:0.17%
单词:quicksands 出现次数:1 频率:0.17%
单词:racists 出现次数:1 频率:0.17%
单词:real 出现次数:1 频率:0.17%
单词:reality 出现次数:1 频率:0.17%
单词:red 出现次数:1 频率:0.17%
单词:redemptive 出现次数:1 频率:0.17%
单词:remind 出现次数:1 频率:0.17%
单词:republic 出现次数:1 频率:0.17%
单词:rest 出现次数:1 频率:0.17%
单词:returns 出现次数:1 频率:0.17%
单词:revealed 出现次数:1 频率:0.17%
单词:revolt 出现次数:1 频率:0.17%
单词:riches 出现次数:1 频率:0.17%
单词:righteousness 出现次数:1 频率:0.17%
单词:rightful 出现次数:1 频率:0.17%
单词:rock 出现次数:1 频率:0.17%
单词:rockies 出现次数:1 频率:0.17%
单词:rolls 出现次数:1 频率:0.17%
单词:rooted 出现次数:1 频率:0.17%
单词:rough 出现次数:1 频率:0.17%
单词:rude 出现次数:1 频率:0.17%
单词:sacred 出现次数:1 频率:0.17%
单词:sadly 出现次数:1 频率:0.17%
单词:satisfy 出现次数:1 频率:0.17%
单词:score 出现次数:1 频率:0.17%
单词:seared 出现次数:1 频率:0.17%
单词:security 出现次数:1 频率:0.17%
单词:seek 出现次数:1 频率:0.17%
单词:sense 出现次数:1 频率:0.17%
单词:shadow 出现次数:1 频率:0.17%
单词:shake 出现次数:1 频率:0.17%
单词:shameful 出现次数:1 频率:0.17%
单词:signed 出现次数:1 频率:0.17%
单词:signing 出现次数:1 频率:0.17%
单词:sisters 出现次数:1 频率:0.17%
单词:sit 出现次数:1 频率:0.17%
单词:situation 出现次数:1 频率:0.17%
单词:sixty 出现次数:1 频率:0.17%
单词:skin 出现次数:1 频率:0.17%
单词:slave 出现次数:1 频率:0.17%
单词:slopes 出现次数:1 频率:0.17%
单词:slums 出现次数:1 频率:0.17%
单词:snow 出现次数:1 频率:0.17%
单词:society 出现次数:1 频率:0.17%
单词:solid 出现次数:1 频率:0.17%
单词:soul 出现次数:1 频率:0.17%
单词:speed 出现次数:1 频率:0.17%
单词:spiritual 出现次数:1 频率:0.17%
单词:spot 出现次数:1 频率:0.17%
单词:staggered 出现次数:1 频率:0.17%
单词:steam 出现次数:1 频率:0.17%
单词:storms 出现次数:1 频率:0.17%
单词:straight 出现次数:1 频率:0.17%
单词:stream 出现次数:1 频率:0.17%
单词:summer 出现次数:1 频率:0.17%
单词:sunlit 出现次数:1 频率:0.17%
单词:sweet 出现次数:1 频率:0.17%
单词:symbolic 出现次数:1 频率:0.17%
单词:symphony 出现次数:1 频率:0.17%
单词:table 出现次数:1 频率:0.17%
单词:tennessee 出现次数:1 频率:0.17%
单词:thirst 出现次数:1 频率:0.17%
单词:threshold 出现次数:1 频率:0.17%
单词:tied 出现次数:1 频率:0.17%
单词:tis 出现次数:1 频率:0.17%
单词:tomorrow 出现次数:1 频率:0.17%
单词:tranquility 出现次数:1 频率:0.17%
单词:tranquilizing 出现次数:1 频率:0.17%
单词:transform 出现次数:1 频率:0.17%
单词:transformed 出现次数:1 频率:0.17%
单词:travel 出现次数:1 频率:0.17%
单词:trials 出现次数:1 频率:0.17%
单词:tribulations 出现次数:1 频率:0.17%
单词:truths 出现次数:1 频率:0.17%
单词:unalienable 出现次数:1 频率:0.17%
单词:unearned 出现次数:1 频率:0.17%
单词:unmindful 出现次数:1 频率:0.17%
单词:unspeakable 出现次数:1 频率:0.17%
单词:usual 出现次数:1 频率:0.17%
单词:vast 出现次数:1 频率:0.17%
单词:vaults 出现次数:1 频率:0.17%
单词:veterans 出现次数:1 频率:0.17%
单词:vicious 出现次数:1 频率:0.17%
单词:victim 出现次数:1 频率:0.17%
单词:village 出现次数:1 频率:0.17%
单词:violence 出现次数:1 频率:0.17%
单词:wallow 出现次数:1 频率:0.17%
单词:warm 出现次数:1 频率:0.17%
单词:waters 出现次数:1 频率:0.17%
单词:whirlwinds 出现次数:1 频率:0.17%
单词:winds 出现次数:1 频率:0.17%
单词:withering 出现次数:1 频率:0.17%
单词:wrongful 出现次数:1 频率:0.17%
单词:wrote 出现次数:1 频率:0.17%
0.081 s
